,team,salary,Player,position,season
4003,San Antonio Spurs,0.532737,James Anderson, SG,2012-2013
4004,Orlando Magic,0.524964,Jason Williams, PG,2012-2013
4005,Houston Rockets,0.512633,Daequan Cook, SG,2012-2013
4006,Dallas Mavericks,0.502581,Mike James, PG,2012-2013
4007,Washington Wizards,0.49018,Glen Rice Jr., SG,2012-2013
4008,Boston Celtics,0.49018,Erik Jay Murphy, PF,2012-2013
4009,Oklahoma City Thunder,0.475,Ryan Reid, PF,2012-2013
4010,New York Knicks,0.473604,John Shurna, SF,2012-2013
4011,Philadelphia 76ers,0.473604,Hollis Thompson, SF,2012-2013
4012,Philadelphia 76ers,0.473604,Devin Searcy, PF,2012-2013
4013,null Unknown,0.473604,Stanley Robinson, NA,2012-2013
4014,Dallas Mavericks,0.473604,Josh Akognon, PG,2012-2013
4015,Phoenix Suns,0.473604,Luke Zeller, PF,2012-2013
4016,New Orleans Hornets,0.473604,Brian Roberts, PG,2012-2013
4017,Charlotte Hornets,0.473604,Sherron Collins, PG,2012-2013
4018,Phoenix Suns,0.473604,Diante Garrett, PG,2012-2013
4019,Indiana Pacers,0.473604,Luke Nevill, C,2012-2013
4021,Atlanta Hawks,0.473604,Carldell Johnson, PG,2012-2013
4022,Boston Celtics,0.473604,Jamar Smith, SG,2012-2013
4023,Golden State Warriors,0.473604,Kent Bazemore, SG,2012-2013
4024,Milwaukee Bucks,0.457588,Marcus Landry, SF,2012-2013
4025,null Unknown,0.457588,Deron Washington, NA,2012-2013
4026,Indiana Pacers,0.402065,Sam Young, SF,2012-2013
4027,Dallas Mavericks,0.402065,Peja Stojakovic, SF,2012-2013
4028,Cleveland Cavaliers,0.390027,Kevin Jones, PF,2012-2013
4029,Oklahoma City Thunder,0.3743,Walker Russell, PG,2012-2013
4030,Minnesota Timberwolves,0.346781,Mickael Gelabale, SF,2012-2013
4032,Houston Rockets,0.281376,Patrick Beverley, PG,2012-2013
4033,Philadelphia 76ers,0.264527,Jeremy Pargo, PG,2012-2013
4034,Memphis Grizzlies,0.261829,Gilbert Arenas, PG,2012-2013
4035,Oklahoma City Thunder,0.261343,Derek Fisher, PG,2012-2013
4036,Dallas Mavericks,0.252016,Manny Harris, PG,2012-2013
4037,Boston Celtics,0.24471,Terrence Williams, SG,2012-2013
4038,San Antonio Spurs,0.239588,Aron Baynes, C,2012-2013
4039,LA Clippers,0.234268,Bobby Simmons, SF,2012-2013
4040,Oklahoma City Thunder,0.226162,Mustafa Shakur, PG,2012-2013
4041,Houston Rockets,0.220487,Earl Boykins, PG,2012-2013
4042,Golden State Warriors,0.211084,Al Thornton, SF,2012-2013
4043,Portland Trail Blazers,0.208802,Travis Diener, PG,2012-2013
4044,Memphis Grizzlies,0.201033,Leon Powe, PF,2012-2013
4045,Denver Nuggets,0.190548,Ben Uzoh, PG,2012-2013
4046,Minnesota Timberwolves,0.185955,Lou Amundson, PF,2012-2013
4047,New York Knicks,0.170878,Kenyon Martin, PF,2012-2013
4048,Cleveland Cavaliers,0.16934,Chris Quinn, PG,2012-2013
4049,Boston Celtics,0.1635,Shavlik Randolph, PF,2012-2013
4050,Boston Celtics,0.156234,D.J. White, PF,2012-2013
4051,Washington Wizards,0.151585,James Singleton, F,2012-2013
4052,Houston Rockets,0.144867,Tim Ohlbrecht, PF,2012-2013
4053,Miami Heat,0.135697,Juwan Howard, PF,2012-2013
4054,Brooklyn Nets,0.104494,Armon Johnson, PG,2012-2013
4055,Washington Wizards,0.103121,Shelvin Mack, PG,2012-2013
4056,Miami Heat,0.094154,Terrel Harris, SG,2012-2013
4057,Washington Wizards,0.075793,Morris Almond, SG,2012-2013
4058,Golden State Warriors,0.075793,Mikki Moore, C,2012-2013
4059,Memphis Grizzlies,0.075387,Keyon Dooling, PG,2012-2013
4060,LA Clippers,0.072892,DaJuan Summers, SF,2012-2013
4061,Brooklyn Nets,0.068902,Damion James, SF,2012-2013
4062,Toronto Raptors,0.068902,Dominic McGuire, PF,2012-2013
4063,Miami Heat,0.061467,Josh Harrellson, C,2012-2013
4064,Cleveland Cavaliers,0.061467,Donald Sloan, G,2012-2013
4066,LA Clippers,0.048232,Lester Hudson, SG,2012-2013
4067,Philadelphia 76ers,0.04736,Justin Holiday, SF,2012-2013
4068,Utah Jazz,0.044835,Jerel McNeal, SG,2012-2013
4069,Cleveland Cavaliers,0.040375,Cedric Jackson, G,2012-2013
4070,New Orleans Pelicans,0.038194,Jeff Foote, C,2012-2013
4071,Minnesota Timberwolves,0.035868,Othyus Jeffers, SG,2012-2013
4072,Brooklyn Nets,0.027859,Kris Joseph, SF,2012-2013
4073,New Orleans Hornets,0.027859,Henry Sims, C,2012-2013
4075,Brooklyn Nets,0.022287,Larry Owens, SF,2012-2013
4076,Brooklyn Nets,0.020103,Mario West, SG,2012-2013
4077,Los Angeles Lakers,30.453805,Kobe Bryant, SF,2013-2014
4078,Miami Heat,18.673,Dwyane Wade, SG,2013-2014
4079,LA Clippers,18.668431,Chris Paul, PG,2013-2014
4080,Brooklyn Nets,18.46613,Deron Williams, PG,2013-2014
4081,Memphis Grizzlies,18.238333,Zach Randolph, PF,2013-2014
4082,Toronto Raptors,17.888932,Rudy Gay, SF,2013-2014
4083,Oklahoma City Thunder,17.832627,Kevin Durant, SF,2013-2014
4084,Chicago Bulls,17.632688,Derrick Rose, PG,2013-2014
4085,LA Clippers,16.4415,Blake Griffin, PF,2013-2014
4086,Brooklyn Nets,15.333334,Paul Pierce, SF,2013-2014
4087,Chicago Bulls,15.3,Carlos Boozer, PF,2013-2014
4088,Dallas Mavericks,22.721381,Dirk Nowitzki, PF,2013-2014
4089,Portland Trail Blazers,14.878,LaMarcus Aldridge, PF,2013-2014
4090,Memphis Grizzlies,14.860523,Marc Gasol, C,2013-2014
4091,Oklahoma City Thunder,14.693906,Russell Westbrook, PG,2013-2014
4092,Minnesota Timberwolves,14.693906,Kevin Love, PF,2013-2014
4093,Philadelphia 76ers,14.4875,Emeka Okafor, C,2013-2014
4094,New Orleans Pelicans,14.283844,Eric Gordon, SG,2013-2014
4095,Indiana Pacers,14.283844,Roy Hibbert, C,2013-2014
4096,Cleveland Cavaliers,14.275,Luol Deng, SF,2013-2014
4097,New York Knicks,14.100538,Tyson Chandler, C,2013-2014
4098,Golden State Warriors,14.0,Andrew Bogut, C,2013-2014
4099,New York Knicks,21.679893,Amar'e Stoudemire, C,2013-2014
4100,Golden State Warriors,13.878,David Lee, PF,2013-2014
4101,Houston Rockets,13.70125,James Harden, PG,2013-2014
4102,Charlotte Bobcats,13.5,Al Jefferson, C,2013-2014
4103,Detroit Pistons,13.5,Josh Smith, PF,2013-2014
4104,Washington Wizards,13.0,Nene Hilario, C,2013-2014
4105,Golden State Warriors,12.868632,Andre Iguodala, SG,2013-2014
4106,San Antonio Spurs,12.5,Tony Parker, PG,2013-2014
4107,Brooklyn Nets,12.433735,Kevin Garnett, PF,2013-2014
4108,Oklahoma City Thunder,12.35,Serge Ibaka, PF,2013-2014
4109,Minnesota Timberwolves,12.1,Nikola Pekovic, C,2013-2014
4110,Brooklyn Nets,21.466718,Joe Johnson, G,2013-2014
4111,Boston Celtics,12.0,Kris Humphries, PF,2013-2014
4112,New York Knicks,21.388953,Carmelo Anthony, PF,2013-2014
4113,Houston Rockets,20.513178,Dwight Howard, C,2013-2014
4114,Los Angeles Lakers,19.28585,Pau Gasol, C,2013-2014
4115,Miami Heat,19.0675,Chris Bosh, PF,2013-2014
4116,Miami Heat,19.0675,LeBron James, SF,2013-2014
4117,Atlanta Hawks,12.0,Al Horford, C,2013-2014
4118,Boston Celtics,11.954545,Rajon Rondo, PG,2013-2014
4119,New York Knicks,11.8625,Andrea Bargnani, C,2013-2014
4120,New Orleans Pelicans,11.796247,Tyreke Evans, SG,2013-2014
4121,Portland Trail Blazers,11.29525,Nicolas Batum, SF,2013-2014
4122,Chicago Bulls,11.1,Joakim Noah, C,2013-2014
4123,Utah Jazz,11.046,Richard Jefferson, F,2013-2014
4124,LA Clippers,10.98655,DeAndre Jordan, C,2013-2014
4125,Denver Nuggets,10.786517,Ty Lawson, G,2013-2014
4126,Denver Nuggets,10.75,JaVale McGee, C,2013-2014
4127,San Antonio Spurs,10.361446,Tim Duncan, C,2013-2014
4128,LA Clippers,10.146925,Danilo Gallinari, SF,2013-2014
4129,Boston Celtics,10.105855,Gerald Wallace, SF,2013-2014
4130,San Antonio Spurs,10.0,Tiago Splitter, C,2013-2014
4131,Golden State Warriors,9.887642,Stephen Curry, PG,2013-2014
4132,New Orleans Pelicans,9.713484,Jrue Holiday, PG,2013-2014
4133,Toronto Raptors,9.5,DeMar DeRozan, SG,2013-2014
4134,Atlanta Hawks,9.5,Paul Millsap, PF,2013-2014
4135,Dallas Mavericks,9.316796,Shawn Marion, SG,2013-2014
4136,Los Angeles Lakers,9.3005,Steve Nash, PG,2013-2014
4137,Cleveland Cavaliers,9.036364,Anderson Varejao, C,2013-2014
4138,Philadelphia 76ers,8.85,Thaddeus Young, PF,2013-2014
4139,Oklahoma City Thunder,8.727437,Kendrick Perkins, C,2013-2014
4140,Boston Celtics,8.7,Jeff Green, SF,2013-2014
4141,Memphis Grizzlies,8.600001,Mike Conley, PG,2013-2014
4142,Detroit Pistons,8.58,Charlie Villanueva, PF,2013-2014
4143,Detroit Pistons,8.5,Rodney Stuckey, PG,2013-2014
4144,Houston Rockets,8.374646,Omer Asik, C,2013-2014
4145,Houston Rockets,8.374646,Jeremy Lin, PG,2013-2014
4146,New Orleans Pelicans,8.3085,Ryan Anderson, PF,2013-2014
4147,Sacramento Kings,8.05,Marcus Thornton, SG,2013-2014
4148,Milwaukee Bucks,8.0,O.J. Mayo, SG,2013-2014
4149,Atlanta Hawks,8.0,Jeff Teague, PG,2013-2014
4150,Indiana Pacers,8.0,George Hill, PG,2013-2014
4151,Milwaukee Bucks,7.9,Ersan Ilyasova, PF,2013-2014
4152,Washington Wizards,7.72728,Trevor Ariza, SF,2013-2014
4153,Washington Wizards,7.72728,Marcin Gortat, C,2013-2014
4154,Detroit Pistons,7.655503,Brandon Jennings, G,2013-2014
4155,Toronto Raptors,7.583,John Salmons, SF,2013-2014
4156,Chicago Bulls,7.55,Taj Gibson, PF,2013-2014
4157,Atlanta Hawks,6.20425,Jason Richardson, SG,2013-2014
4158,Utah Jazz,6.008196,Derrick Favors, PF,2013-2014
4159,Charlotte Bobcats,6.0,Gerald Henderson, SG,2013-2014
4160,Portland Trail Blazers,5.904261,Robin Lopez, C,2013-2014
4161,Toronto Raptors,5.7225,Chuck Hayes, PF,2013-2014
4162,Sacramento Kings,5.64375,Jason Thompson, PF,2013-2014
4163,Brooklyn Nets,5.625313,Jason Terry, G,2013-2014
4164,Cleveland Cavaliers,5.60724,Kyrie Irving, PG,2013-2014
4165,New York Knicks,5.565,JR Smith, SG,2013-2014
4166,New Orleans Pelicans,5.37576,Anthony Davis, PF,2013-2014
4167,Cleveland Cavaliers,5.32428,Anthony Bennett, PF,2013-2014
4168,LA Clippers,5.225,Jamal Crawford, SG,2013-2014
4169,Memphis Grizzlies,5.225,Courtney Lee, SG,2013-2014
4170,Atlanta Hawks,5.225,Lou Williams, SG,2013-2014
4171,Milwaukee Bucks,5.2,Zaza Pachulia, C,2013-2014
4172,Denver Nuggets,5.15,JJ Hickson, C,2013-2014
4173,Washington Wizards,5.15,Martell Webster, SF,2013-2014
4174,Boston Celtics,5.058198,Keith Bogans, SG,2013-2014
4175,Sacramento Kings,5.01696,Derrick Williams, PF,2013-2014
4176,Washington Wizards,5.0,Andre Miller, PG,2013-2014
4177,Charlotte Bobcats,5.0,Ramon Sessions, G,2013-2014
4178,San Antonio Spurs,7.5,Manu Ginobili, G,2013-2014
4179,Utah Jazz,7.5,Marvin Williams, PF,2013-2014
4180,Phoenix Suns,7.5,Goran Dragic, PG,2013-2014
4181,Washington Wizards,7.459925,John Wall, PG,2013-2014
4182,Memphis Grizzlies,7.235955,Tayshaun Prince, SF,2013-2014
4183,Portland Trail Blazers,6.87548,Wesley Matthews, SG,2013-2014
4184,Dallas Mavericks,6.79157,Jose Calderon, PG,2013-2014
4185,Atlanta Hawks,6.760563,Kyle Korver, SG,2013-2014
4186,Philadelphia 76ers,6.679867,Evan Turner, SG,2013-2014
4187,LA Clippers,6.5,JJ Redick, SG,2013-2014
4188,Minnesota Timberwolves,6.5,Kevin Martin, SG,2013-2014
4189,Sacramento Kings,6.5,Carl Landry, PF,2013-2014
4190,Philadelphia 76ers,6.5,Spencer Hawes, PF,2013-2014
4191,Boston Celtics,6.45,Brandon Bass, PF,2013-2014
4192,Phoenix Suns,6.4,Channing Frye, F,2013-2014
4193,Denver Nuggets,6.344164,Wilson Chandler, SF,2013-2014
4194,Cleveland Cavaliers,6.3,Jarrett Jack, G,2013-2014
4195,Toronto Raptors,6.25,Landry Fields, SG,2013-2014
4196,Toronto Raptors,6.21,Kyle Lowry, PG,2013-2014
4197,Minnesota Timberwolves,5.0,Chase Budinger, SF,2013-2014
4198,Dallas Mavericks,5.0,Brandan Wright, F,2013-2014
4199,Sacramento Kings,4.916974,DeMarcus Cousins, C,2013-2014
4200,Charlotte Bobcats,4.80984,Michael Kidd-Gilchrist, SF,2013-2014
4201,Orlando Magic,4.76376,Victor Oladipo, SG,2013-2014
4202,San Antonio Spurs,4.7025,Boris Diaw, C,2013-2014
4203,Minnesota Timberwolves,4.687,J.J. Barea, PG,2013-2014
4204,Sacramento Kings,4.588384,Luc Mbah a Moute, PF,2013-2014
4205,Indiana Pacers,4.508504,Luis Scola, F,2013-2014
4206,Utah Jazz,4.50528,Enes Kanter, C,2013-2014
4207,Detroit Pistons,4.5,Jonas Jerebko, PF,2013-2014
4208,Memphis Grizzlies,4.494383,Tony Allen, SG,2013-2014
4209,Milwaukee Bucks,4.469548,Ekpe Udoh, C,2013-2014
4210,Charlotte Bobcats,4.42,Luke Ridnour, PG,2013-2014
4211,Denver Nuggets,4.4,Timofey Mozgov, C,2013-2014
4212,Miami Heat,4.34,Udonis Haslem, PF,2013-2014
4213,Washington Wizards,4.31928,Bradley Beal, SG,2013-2014
4214,Washington Wizards,4.278,Otto Porter Jr., SF,2013-2014
4215,LA Clippers,4.25,Jared Dudley, SF,2013-2014
4216,Detroit Pistons,4.086454,Greg Monroe, C,2013-2014
4217,Cleveland Cavaliers,4.062,Tristan Thompson, C,2013-2014
4218,Chicago Bulls,4.059,Kirk Hinrich, SG,2013-2014
4219,Atlanta Hawks,4.0,Elton Brand, PF,2013-2014
4220,Indiana Pacers,4.0,Ian Mahinmi, C,2013-2014
4221,Miami Heat,4.0,Mario Chalmers, G,2013-2014
4222,Los Angeles Lakers,4.0,Steve Blake, PG,2013-2014
4223,San Antonio Spurs,3.945,Matt Bonner, C,2013-2014
4224,Oklahoma City Thunder,3.9,Thabo Sefolosha, SF,2013-2014
4225,Cleveland Cavaliers,3.89424,Dion Waiters, SG,2013-2014
4226,Charlotte Bobcats,3.85704,Cody Zeller, C,2013-2014
4227,Miami Heat,3.8,Joel Anthony, PF,2013-2014
4228,San Antonio Spurs,3.7625,Danny Green, SG,2013-2014
4229,Toronto Raptors,3.75,Steve Novak, SF,2013-2014
4230,New Orleans Pelicans,3.749602,Al-Farouq Aminu, PF,2013-2014
4231,Dallas Mavericks,3.700748,Samuel Dalembert, C,2013-2014
4232,Minnesota Timberwolves,3.678358,Ricky Rubio, PG,2013-2014
4233,New York Knicks,3.637073,Raymond Felton, PG,2013-2014
4234,Toronto Raptors,3.52644,Jonas Valanciunas, C,2013-2014
4235,Portland Trail Blazers,3.52644,Thomas Robinson, F,2013-2014
4236,Golden State Warriors,3.5,Marreese Speights, F,2013-2014
4237,Phoenix Suns,3.5,Gerald Green, SG,2013-2014
4238,Phoenix Suns,3.49272,Alex Len, C,2013-2014
4239,Utah Jazz,3.452183,Gordon Hayward, SF,2013-2014
4240,Washington Wizards,3.34092,Jan Vesely, PF,2013-2014
4241,Indiana Pacers,3.282003,Paul George, SF,2013-2014
4242,Miami Heat,3.27,Shane Battier, SF,2013-2014
4243,LA Clippers,3.25,Matt Barnes, SF,2013-2014
4244,LA Clippers,3.25,Carlos Delfino, SG,2013-2014
4245,Charlotte Bobcats,3.25,Gary Neal, PG,2013-2014
4246,Denver Nuggets,3.231683,Darrell Arthur, F,2013-2014
4247,Brooklyn Nets,3.22905,Mirza Teletovic, PF,2013-2014
4248,Miami Heat,3.22905,Ray Allen, SG,2013-2014
4249,Portland Trail Blazers,3.20292,Damian Lillard, PG,2013-2014
4250,Brooklyn Nets,3.183,Andrei Kirilenko, SF,2013-2014
4251,Toronto Raptors,3.183,Tyler Hansbrough, PF,2013-2014
4252,Chicago Bulls,3.183,Mike Dunleavy, SG,2013-2014
4253,Dallas Mavericks,3.18,Vince Carter, SF,2013-2014
4254,Oklahoma City Thunder,3.17232,Nerlens Noel, PF,2013-2014
4255,Memphis Grizzlies,3.15386,Ed Davis, PF,2013-2014
4256,Minnesota Timberwolves,3.15,Alexey Shved, PG,2013-2014
4257,Memphis Grizzlies,3.135,Jerryd Bayless, PG,2013-2014
4258,Toronto Raptors,3.105302,Patrick Patterson, PF,2013-2014
4259,Philadelphia 76ers,3.06,Lavoy Allen, F,2013-2014
4260,Milwaukee Bucks,3.053368,Larry Sanders, PF,2013-2014
4261,Charlotte Bobcats,3.04992,Bismack Biyombo, C,2013-2014
4262,Sacramento Kings,3.0,Travis Outlaw, SF,2013-2014
4263,Memphis Grizzlies,3.0,Kosta Koufos, C,2013-2014
4264,Indiana Pacers,3.0,Chris Copeland, SF,2013-2014
4265,Golden State Warriors,2.92392,Harrison Barnes, SF,2013-2014
4266,Portland Trail Blazers,2.897976,Joel Freeland, C,2013-2014
4267,Sacramento Kings,2.89596,Ben McLemore, SG,2013-2014
4268,Milwaukee Bucks,2.79396,Brandon Knight, PG,2013-2014
4269,Detroit Pistons,2.790343,Will Bynum, PG,2013-2014
4270,Washington Wizards,2.761114,Kevin Seraphin, C,2013-2014
4271,San Antonio Spurs,2.75,Marco Belinelli, G,2013-2014
4272,Toronto Raptors,2.690875,Aaron Gray, C,2013-2014
4273,Toronto Raptors,2.67864,Terrence Ross, SG,2013-2014
4274,Detroit Pistons,2.65308,Kentavious Caldwell-Pope, SG,2013-2014
4275,Dallas Mavericks,2.652,Wayne Ellington, SG,2013-2014
4276,Portland Trail Blazers,2.652,Mo Williams, PG,2013-2014
4277,Phoenix Suns,2.626474,Eric Bledsoe, PG,2013-2014
4278,Oklahoma City Thunder,2.585668,Nick Collison, F,2013-2014
4279,Charlotte Bobcats,2.56836,Kemba Walker, PG,2013-2014
4280,Atlanta Hawks,2.557545,DeMarre Carroll, SF,2013-2014
4281,Boston Celtics,2.511432,Avery Bradley, SG,2013-2014
4282,New Orleans Pelicans,2.5,Jason Smith, PF,2013-2014
4283,Detroit Pistons,2.5,Chauncey Billups, PG,2013-2014
4284,Detroit Pistons,2.4654,Andre Drummond, C,2013-2014
4285,Utah Jazz,2.43876,Trey Burke, PG,2013-2014
4286,Washington Wizards,2.35082,Trevor Booker, F,2013-2014
4287,New Orleans Pelicans,2.33904,Austin Rivers, PG,2013-2014
4288,Golden State Warriors,2.31792,Klay Thompson, SG,2013-2014
4289,Portland Trail Blazers,2.31672,CJ McCollum, SG,2013-2014
4290,Memphis Grizzlies,2.225479,Quincy Pondexter, SF,2013-2014
4291,Cleveland Cavaliers,2.225,CJ Miles, SF,2013-2014
4292,Portland Trail Blazers,2.22216,Meyers Leonard, PF,2013-2014
4293,Utah Jazz,2.202,Alec Burks, SG,2013-2014
4294,Philadelphia 76ers,2.20092,Michael Carter-Williams, PG,2013-2014
4295,Minnesota Timberwolves,2.18,Dante Cunningham, SF,2013-2014
4296,Golden State Warriors,2.162419,Jordan Crawford, G,2013-2014
4297,Toronto Raptors,2.150188,Greivis Vasquez, PG,2013-2014
4298,Oklahoma City Thunder,2.11116,Jeremy Lamb, SG,2013-2014
4299,Phoenix Suns,2.09184,Markieff Morris, PF,2013-2014
4300,Oklahoma City Thunder,2.09088,Steven Adams, C,2013-2014
4301,Portland Trail Blazers,2.05,Brendan Haywood, C,2013-2014
4302,Indiana Pacers,2.016,C.J. Watson, PG,2013-2014
4303,Denver Nuggets,2.016,Nate Robinson, PG,2013-2014
4304,Golden State Warriors,2.0,Jermaine O'Neal, C,2013-2014
4305,Boston Celtics,2.0,Vitor Faverani, C,2013-2014
4306,Phoenix Suns,1.98732,Marcus Morris, PF,2013-2014
4307,Boston Celtics,1.98636,Kelly Olynyk, PF,2013-2014
4308,Milwaukee Bucks,1.90536,John Henson, F,2013-2014
4309,LA Clippers,1.9,Darren Collison, PG,2013-2014
4310,San Antonio Spurs,1.88784,Kawhi Leonard, SF,2013-2014
4311,Minnesota Timberwolves,1.88712,Shabazz Muhammad, F,2013-2014
4312,Orlando Magic,1.80984,Maurice Harkless, SF,2013-2014
4313,Orlando Magic,1.79352,Nikola Vucevic, C,2013-2014
4314,Milwaukee Bucks,1.79256,Giannis Antetokounmpo, PF,2013-2014
4315,Denver Nuggets,1.75,Anthony Randolph, SF,2013-2014
4316,San Antonio Spurs,1.75,Jeff Ayres, F,2013-2014
4317,Detroit Pistons,1.75,Luigi Datome, SF,2013-2014
4318,New York Knicks,1.70376,Iman Shumpert, SG,2013-2014
4319,Sacramento Kings,1.695635,Reggie Evans, C,2013-2014
4320,Utah Jazz,1.660257,Jeremy Evans, F,2013-2014
4321,Cleveland Cavaliers,1.63344,Tyler Zeller, C,2013-2014
4322,Washington Wizards,1.61868,Chris Singleton, SF,2013-2014
4323,Miami Heat,1.6,Toney Douglas, PG,2013-2014
4324,Utah Jazz,1.6,John Lucas III, PG,2013-2014
4325,New York Knicks,1.59135,Pablo Prigioni, PG,2013-2014
4326,Houston Rockets,1.55184,Terrence Jones, PF,2013-2014
4327,Los Angeles Lakers,1.55,Jodie Meeks, SG,2013-2014
4328,Orlando Magic,1.54584,Tobias Harris, SF,2013-2014
4329,Dallas Mavericks,1.53696,Shane Larkin, G,2013-2014
4330,Minnesota Timberwolves,1.5,Ronny Turiaf, C,2013-2014
4331,Milwaukee Bucks,1.5,Miroslav Raduljica, C,2013-2014
4332,Miami Heat,1.5,James Jones, SG,2013-2014
4333,Atlanta Hawks,1.5,Gustavo Ayon, PF,2013-2014
4334,Orlando Magic,1.482,Andrew Nicholson, PF,2013-2014
4335,Cleveland Cavaliers,1.46784,Sergey Karasev, SG,2013-2014
4336,Toronto Raptors,1.463,Nando De Colo, PG,2013-2014
4337,Denver Nuggets,1.42272,Evan Fournier, SG,2013-2014
4338,Houston Rockets,1.42272,Donatas Motiejunas, PF,2013-2014
4339,Chicago Bulls,1.40904,Tony Snell, SG,2013-2014
4340,LA Clippers,1.399507,Willie Green, SG,2013-2014
4341,Miami Heat,1.399507,Rashard Lewis, PF,2013-2014
4342,Miami Heat,1.399507,Chris Andersen, PF,2013-2014
4343,Cleveland Cavaliers,1.3884,Scotty Hopson, G,2013-2014
4344,Brooklyn Nets,1.375604,Andray Blatche, C,2013-2014
4345,Denver Nuggets,1.36764,Kenneth Faried, PF,2013-2014
4346,Boston Celtics,1.36572,Jared Sullinger, C,2013-2014
4347,Minnesota Timberwolves,1.35264,Gorgui Dieng, C,2013-2014
4348,Atlanta Hawks,1.3482,Dennis Schroder, PG,2013-2014
4349,Portland Trail Blazers,1.33,Victor Claver, PF,2013-2014
4350,Brooklyn Nets,1.29864,Mason Plumlee, PF,2013-2014
4351,Houston Rockets,1.265977,Francisco Garcia, SG,2013-2014
4352,Oklahoma City Thunder,1.26036,Reggie Jackson, PG,2013-2014
4353,Atlanta Hawks,1.2588,John Jenkins, G,2013-2014
4354,Indiana Pacers,1.24668,Solomon Hill, SF,2013-2014
4355,Los Angeles Lakers,1.21008,MarShon Brooks, SG,2013-2014
4356,Oklahoma City Thunder,1.2,Hasheem Thabeet, C,2013-2014
4357,Atlanta Hawks,1.2,Pero Antic, PF,2013-2014
4358,New York Knicks,1.19676,Tim Hardaway Jr., G,2013-2014
4359,Houston Rockets,1.16988,Jordan Hamilton, SG,2013-2014
4360,Philadelphia 76ers,1.16004,Tony Wroten, SG,2013-2014
4361,LA Clippers,1.149,Reggie Bullock, SG,2013-2014
4362,San Antonio Spurs,1.13395,Patty Mills, PG,2013-2014
4363,Miami Heat,1.1292,Norris Cole, PG,2013-2014
4364,Phoenix Suns,1.12152,Miles Plumlee, C,2013-2014
4365,San Antonio Spurs,1.12092,Cory Joseph, PG,2013-2014
4366,Chicago Bulls,1.11288,Jimmy Butler, SG,2013-2014
4367,Los Angeles Lakers,1.106942,Nick Young, G,2013-2014
4368,Philadelphia 76ers,1.08924,Arnett Moultrie, PF,2013-2014
4369,Oklahoma City Thunder,1.08252,Perry Jones, SF,2013-2014
4370,Utah Jazz,1.0788,Rudy Gobert, C,2013-2014
4371,Brooklyn Nets,1.07472,Marquis Teague, G,2013-2014
4372,Portland Trail Blazers,1.06692,Festus Ezeli, C,2013-2014
4373,Phoenix Suns,1.0644,Archie Goodwin, SG,2013-2014
4374,Golden State Warriors,1.05672,Nemanja Nedovic, PG,2013-2014
4375,Detroit Pistons,1.045,Kyle Singler, F,2013-2014
4376,New Orleans Pelicans,1.027424,Anthony Morrow, SG,2013-2014
4377,Indiana Pacers,1.005,Lance Stephenson, SG,2013-2014
4378,Indiana Pacers,1.0,Andrew Bynum, C,2013-2014
4379,Phoenix Suns,0.951463,Ish Smith, PG,2013-2014
4380,Philadelphia 76ers,0.947907,Byron Mullens, C,2013-2014
4381,Brooklyn Nets,0.947907,Alan Anderson, SG,2013-2014
4382,Houston Rockets,0.947907,Omri Casspi, SF,2013-2014
4383,Toronto Raptors,0.947907,Austin Daye, SF,2013-2014
4384,Houston Rockets,0.9265,Chandler Parsons, SF,2013-2014
4385,Charlotte Bobcats,0.916099,Jeff Adrien, SF,2013-2014
4386,Memphis Grizzlies,0.9,Jon Leuer, PF,2013-2014
4387,Washington Wizards,0.884293,Garrett Temple, SG,2013-2014
4388,Atlanta Hawks,0.884293,Shelvin Mack, PG,2013-2014
4389,LA Clippers,0.884293,Ryan Hollins, C,2013-2014
4390,Charlotte Bobcats,0.884293,Jannero Pargo, PG,2013-2014
4391,Los Angeles Lakers,0.884293,Jordan Farmar, PG,2013-2014
4392,Orlando Magic,0.884293,E'Twaun Moore, G,2013-2014
4393,New York Knicks,0.884293,Cole Aldrich, C,2013-2014
4394,Golden State Warriors,0.8755,Draymond Green, PF,2013-2014
